Key,Spanish,French,English
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.Mecanica.Option2,Motor en fosa seca + kit empotrar pasamuros 210 mm,Kit de moteur pour fosse sèche + encastrement mural de 210 mm,Dry pit motor + 210 mm wall penetration recess kit
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.Mecanica.Option3,Motor en el eje fijación bajo piedra de coronación,Moteur monté sur l'arbre sous la pierre de couronnement,Motor on the shaft mounting under the crowning stone
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.Mecanica.Option4,Motor en el eje fijación en la pared,"Moteur sur arbre, montage mural","Motor on shaft, wall mounting"
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.ModeloTapa.Option1,Tapa fuera del agua,Couvercle hors de l'eau,Lid out of the water
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.ModeloTapa.Option2,Tapa sumergida,Couvercle immergé,Submerged lid
FichaTecnica.InfoBasica.LeBanc.TipoModelo,Tipo de modelo:,Type de modèle :,Model type:
FichaTecnica.InfoBasica.LeBanc.TapaSuperior,Color revestimiento superior:,Couleur de la couche de finition :,Top coating color:
FichaTecnica.InfoBasica.LeBanc.TapaLateral,Color revestimiento lateral:,Couleur du panneau latéral :,Side panel color:
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TipoDeModelo.Small,Pequeño,Petit,Little
TipoDeModelo.Big,Grande,Grand,Big
ColorTapaSuperior.Blanco,Blanco,Blanc,White
ColorTapaSuperior.GrisAntracita,Gris Antracita,Gris anthracite,Anthracite Grey
ColorTapaSuperior.Madera,Madera,Bois,Wood
ColorTapaLateral.SinRevestimiento,Sin revestimiento,Non revêtu,Uncoated
ColorTapaLateral.Blanco,Blanco,Blanc,White
ColorTapaLateral.GrisAntracita,Gris Antracita,Gris anthracite,Anthracite Grey
ColorTapaLateral.Madera,Madera,Bois,Wood
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Catalog.Company.Astralpool,Astralpool,Astralpool,Astralpool
Catalog.Company.BacPoolSystem,BAC Pool Systems,BAC Pool Systems,BAC Pool Systems
Catalog.Product.GroundRoller,Persiana exterior,Volet hors-sol,Ground pool cover
Catalog.Product.SubmergedCover,Persiana sumergida,Volet immergé,Submerged pool cover
Catalog.Product.Benches&Claddings,Bancos y revestimientos,Bancs et revêtements,Benches and claddings
Catalog.Product.Lamas,Lamas,Lamas,Lamas
Catalog.Product.FabricCover,Cubierta de tela,Housse en tissu,Fabric Cover
Catalog.Product.DeckMountedSlattedCover,Cubierta exterior de lamas,Volet à lames hors-sol,Deck mounted slatted cover
Catalog.Product.DeckMountedIsolaCover,Cubierta exterior isola,Volet Isola montée sur plage,Deck mounted Isola cover
Catalog.Model.Astralpool.Octeo,Octeo,Octeo,Octeo
Catalog.Model.Astralpool.Sveltea,Sveltea,Sveltea,Sveltea
Catalog.Model.Astralpool.SvelteaManual,Sveltea Manual,Sveltea Manuel,Sveltea Manual
Catalog.Model.Astralpool.Coverly,Coverly,Coverly,Coverly
Catalog.Model.Astralpool.Bellasun,Bellasun,Bellasun,Bellasun
Catalog.Model.Astralpool.LebancBig,Lebanc (Modelo grande),Lebanc (Grand modèle),Lebanc (Large model)
Catalog.Model.Astralpool.LebancSmall,Lebanc (Modelo pequeño),Lebanc (Petit modèle),Lebanc (Small model)
Catalog.Model.Astralpool.LebancTopCladding,Revesitimiento superior,Revêtement supérieur,Top cladding
Catalog.Model.Astralpool.LebancSidesCladding,Revesitimientos laterales,Revêtement latéral,Sides cladding
Catalog.Model.Astralpool.Rousillon,Rousillon,Rousillon,Rousillon
Catalog.Model.BACPoolSystem.Rollfix,Rollfix,Rollfix,Rollfix
Catalog.Model.BACPoolSystem.Whirpool,Whirlpool,Whirlpool,Whirlpool
Catalog.Model.BACPoolSystem.Isola,Isola,Isola,Isola
Catalog.Model.BACPoolSystem.Multiversal,Multiversal,Multiversal,Multiversal
Catalog.Model.BACPoolSystem.Novatrend,Novatrend,Novatrend,Novatrend
Catalog.Model.BACPoolSystem.SwissTop,SwissTop,SwissTop,SwissTop
,,,
Catalog.Material.White,Blanco,Blanc,White
Catalog.Material.Gray,Gris,Gris,Grey
Catalog.Material.Antracita,Gris Antracita,Gris anthracite,Anthracite Grey
Catalog.Material.Sand,Arena,Sable,Sand
Catalog.Material.Green,Verde,Vert,Green
Catalog.Material.Wood,Madera,Bois,Wood
Catalog.Material.White&White,Blanco & Blanco,Blanc et blanc,White & White
Catalog.Material.White&Black,Blanco & Gris Antracita,Blanc et gris anthracite,White & Anthracite Grey
Catalog.Material.Black&White,Gris Antracita & Blanco,Gris anthracite et blanc,Anthracite Grey & White
Catalog.Material.Black&Black,Gris Antracita & Gris Antracita,Gris anthracite et gris anthracite,Anthracite Grey & Anthracite Grey
Catalog.Material.Metalic,Metálico,Métal,Metal
Catalog.Material.Blue,Azul claro,bleu clair,Light blue
Catalog.Material.Green,Verde,Vert,Green
Catalog.Material.Capuccino,Capuccino,Cappuccino,Cappuccino
Catalog.Material.Translucent,Translucido,Translucide,Translucent
Catalog.Material.Solar,Solar,Solaire,Solar
Catalog.Material.TranslucentCristalClear,Cristal claro translucido,Cristal transparent et translucide,Clear translucent crystal
Catalog.Material.SolarBlued,Azul solar,Bleu solaire,Solar blue
Catalog.Material.SolarCristalClear,Cristal claro solar,Cristal solaire transparent,Clear solar crystal
Catalog.Material.SolarGreen,Verde solar,Vert solaire,Solar green
Catalog.Material.SolarSilver,Plata solar,argent solaire,Solar silver
Catalog.Material.SolarSmokey,Solar Smokey,Solar Smokey,Solar Smokey
Catalog.Material.TranslucedBlued,Azul translucido,Bleu translucide,Translucent blue
Catalog.Material.TranslucedSmokey,Transluced Smokey,Fumé translucide,Translucent Smokey
,,,
Catalog.Material.NoSideCladding,Quitar revesitimientos laterales,Retirer les revêtement latéral,Remove side claddings
Catalog.CatalogPanel.SelectProduct,Producto:,Produit:,Product:
Catalog.Lamas.Model.PVC,PVC,PVC,PVC
Catalog.Lamas.Model.Policarbonat,Policarbonato,Polycarbonate,Polycarbonate
Catalog.Lamas.Duotherm,Duotherm,Duotherm,Duotherm
Catalog.Lamas.Twist,Twist,Torsion,Twist
Catalog.Lamas.RollmaticPVC,Rollmatic PVC,Rollmatic PVC,Rollmatic PVC
Catalog.Lamas.RollmaticPolycarbonate,Rollmatic Polycarbonate,Polycarbonate Rollmatic,Rollmatic Polycarbonate
Catalog.Lamas.RollmaticPolycarbonatePro,Rollmatic Polycarbonate Pro,Rollmatic Polycarbonate Pro,Rollmatic Polycarbonate Pro
,,,
Catalog.Lamas.Model.Title,Modelo,Modèle,Model
Catalog.Lamas.Material.Title,Material,Matériel,Material
,,,
,,,
,,,
,,,
InGame.PlaneFinderPanel.InfoText,"Apunte hacia el suelo hasta que aparezca una marca, a continuación, púlsela.","Orientez-le vers le sol jusqu'à ce qu'une marque apparaisse, puis appuyez.","Point it towards the ground until a mark appears, then press it."
InGame.CatalogPanel.InfoText,Seleccione un modelo de persiana y pulse editar,Sélectionnez un modèle de volet,Select a blind model and press edit
InGame.Help.Mode.Movment,Mover modelo,Sélectionnez un modèle de volet,Move model
InGame.Help.Mode.MovmentDescrip,Permite mover el modelo de cubierta arrastrando el modelo con el dedo.,Il vous permet de déplacer le modèle de couverture en le faisant glisser avec votre doigt.,Il vous permet de déplacer le modèle de couverture en le faisant glisser avec votre doigt.
InGame.Help.Mode.Rotation,Rotar modelo,Modèle de rotation,Modèle de rotation
InGame.Help.Mode.RotationDescrip,Permite rotar el modelo con el la barra deslizadora.,Il vous permet de faire pivoter le modèle à l'aide de la barre de défilement.,Il vous permet de faire pivoter le modèle à l'aide de la barre de filetage.
InGame.Help.Mode.SetModelLenght,Anchura del modelo,Largeur du modèle,Largeur du
InGame.Help.Mode.SetModelLenghtDescrip,Permite modificar la anchura del modelo con la barra deslizadora,Permet de modifier la largeur du modèle à l'aide du curseur.,Permet de modifier la largeur du modèle à l'aide du parcours.
InGame.Help.Mode.SetLamasLenght,Longitud de la persiana,Longueur de l'aveugle,Durée de la cécité
InGame.Help.Mode.SetLamasLenghtDescrip,Permite modificar la longitud de la persiana con la barra deslizadora,Elle permet de régler la longueur du store grâce à la barre coulissante.,Elle permet d'ajuster la longueur du magasin grâce à la barre coulissante.
InGame.Help.Mode.Blueprint,Plano técnico,dessin technique,technique de dessin
InGame.Help.Mode.BlueprintDescrip,Permite acceder al plano tècnico del modelo seleccionado,Il permet d'accéder au dessin technique du modèle sélectionné.,Il permet d'accéder au dessin technique du modèle sélectionné.
InGame.Help.Mode.Catalogo,Catálogo,Catalogue,Catalogue
InGame.Help.Mode.CatalogDescrip,"Accede al catalogo completo para poder cambiar el modelo, el color, el material de las lamas o su color.","Accédez au catalogue complet pour modifier le modèle, la couleur, le matériau des lattes ou la couleur.","Accédez au catalogue complet pour modifier le modèle, la couleur, la matière des lattes ou la couleur."
,,,
,,,
,,,
FichaTecnica.InfoBasica.Modelo,Modelo:,Modèle:,Model:
FichaTecnica.InfoBasica.Dimensiones,Dimensiones:,Dimensions:,Dimensions:
FichaTecnica.InfoBasica.Color,Colores:,Couleurs:,Colors:
FichaTecnica.InfoBasica.ColorSoportes,Soportes:,PIED:,Legs:
FichaTecnica.InfoBasica.ColorLamas,Lamas:,LAMES:,Slats:
FichaTecnica.InfoBasica.ColorTarima,Tarima:,Revêtement de sol :,Platform:
FichaTecnica.InfoBasica.ColorRevestimientoSuperior,Revestimiento superior:,Revêtement supérieur :,Upper cladding:
FichaTecnica.InfoBasica.ColorRevestimientoLateal,Color revestimientos:,Revêtements latéraux :,Side cladding:
FichaTecinca.MaterialLama.Title,Material lamas:,MATERIAU DES LAMES:,Slat material:
FichaTecnica.MaterialInfo.Titulo,INFORMACIÓN BÁSICA,INFORMATIONS DE BASE,BASIC INFORMATION
FichaTecnica.ProductosAsociados.Titulo,PRODUCTOS ASOCIADOS,PRODUITS ASSOCIÉS,RELATED PRODUCTS
FichaTecnica.BasicDropdownOptions.Option01,None,None,None
FichaTecnica.ProductosAsociados.Led,Iluminación LED Solar,Éclairage solaire LED,Solar LED Lighting
FichaTecnica.BasicDropdownOptions.Option02,Añadir,Ajouter,Add
FichaTecnica.BasicDropdownOptions.Option03,No añadir,Ne pas ajouter,Do not add
FichaTecnica.ProductosAsociados.CoverConnect,Cover Connect:,Cover Connect:,Cover Connect:
FichaTecnica.ProductosAsociados.CoverConnect.Option2,Caja control mural + App. Movil,Boîtier de commande mural + application mobile,Wall-mounted control box + Mobile app
FichaTecnica.ProductosAsociados.CoverConnect.Option3,Mando a distancia llavero,Porte-clés télécommande,Remote control keychain
FichaTecnica.ProductosAsociados.CoverConnect.Option4,Mando a distancia + receptor Bluetooth + aplicación Cover Connect,Télécommande porte-clés + récepteur Bluetooth + application Cover Connect,Key fob remote + Bluetooth receiver + Cover connect app
FichaTecnica.ProductosAsociados.CoverConnect.Option5,Caja de control de pared + receptor Bluetooth + aplicación Cover Connect,Boîtier de commande mural + récepteur Bluetooth + application Cover Connect,Wall-mounted control box  + Bluetooth reciver + Cover connect app
FichaTecnica.ProductosAsociados.CoverConnect.Option6,Aplicación Cover Connect,Application Cover Connect,Cover Connect App
FichaTecnica.ProductosAsociados.Electrolisis,Contacto para electrólisis,Contact d'électrolyse,Electrolysis contact
FichaTecnica.InfoBasica.PoolMaterial.Title,Material de la piscina:,Matériel de piscine :,Pool material:
FichaTecnica.InfoBasica.PoolMaterial.Option02,Gresite,Gresite,Gresite
FichaTecnica.InfoBasica.PoolMaterial.Option03,Liner,Doublure,Liner
FichaTecnica.InfoBasica.PoolMaterial.Option04,Poliéster,Polyester,Polyester
FichaTecnica.InfoBasica.PoolMaterial.Option05,Porcelánica,Porcelaine,Porcelain
FichaTecnica.ProductosAsociados.SistemaSeguridad,Sistema seguridad:,Système de sécurité :,Security system:
FichaTecnica.ProductosAsociados.SistemaSeguridad.DropDown.Option02,Hebillas con correa de tela,Boucles avec sangle en tissu,Buckles with fabric strap
FichaTecnica.ProductosAsociados.SistemaSeguridad.DropDown.Option03,ABS,ABS,ABS
FichaTecnica.ProductosAsociados.SistemaSeguridad.DropDown.Option04,Acero inoxidable electropulido 316L,Acier inoxydable électropoli 316L,316L electropolished stainless steel
Sumergida.Modelo.SumergidaTapaFuera.ModeloTapa,Modelo de cubierta:,Modèle de couverture :,Cover model:
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.ModeloTapa.Option01,Tapa fuera del agua,Couvercle hors de l'eau,Lid out of the water
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.ModeloTapa.Option02,Tapa sumergida,Couvercle immergé,Submerged lid
FichaTecnica.ProductosAsociados.Mecanismo,Mecánica:,Mécanique:,Mechanics:
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.Mecanica.Option02,Motor en fosa seca + kit empotrar pasamuros 210 mm,Kit de moteur pour fosse sèche + encastrement mural de 210 mm,Dry pit motor + 210 mm wall penetration recess kit
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.Mecanica.Option03,Motor en el eje fijación bajo piedra de coronación,Moteur monté sur l'arbre sous la pierre de couronnement,Motor on the shaft mounting under the crowning stone
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.Mecanica.Option04,Motor en el eje fijación en la pared,"Moteur sur arbre, montage mural","Motor on shaft, wall mounting"
FichaTecnica.ProductosAsociados.Vigas,Viga:,Faisceau:,Beam:
FichaTecnica.ProductosAsociados.Vigas.DropDown.Option2,Kit Viga 100x70,Kit de poutre 100x70,100x70 Beam Kit
FichaTecnica.ProductosAsociados.Vigas.DropDown.Option3,Kit Viga 100x110,Kit de poutre 100x110,100x110 Beam Kit
FichaTecnica.ProductosAsociados.Vigas.DropDown.Option4,Kit Tabique 100x70,Kit de cloison 100x70,Partition Kit 100x70
FichaTecnica.ProductosAsociados.Vigas.DropDown.Option5,Kit Tabique 100x110,Kit de cloison 100x110,Partition Kit 100x110
FichaTecnica.ProductosAsociados.Tapas,Tapa:,Couverture:,Cover:
FichaTecnica.ProductosAsociados.Tapas.Option2,Madera exótica 750x1000,Bois exotique 750x1000,Exotic wood 750x1000
FichaTecnica.ProductosAsociados.Tapas.Option3,Madera exótica 950x1000,Bois exotique 950x1000,Exotic wood 950x1000
FichaTecnica.ProductosAsociados.Tapas.Option4,Por encargo,Sur mesure,Custom made
FichaTecnica.Anotaciones.Titulo,ANOTACIONES:,REMARQUES :,NOTES:
FichaTecnica.Anotaciones.Input,Introduce texto...,Saisissez du texte...,Enter text...
FichaTecnica.Titulo,PLANO TÉCNICO,PLAN TECHNIQUE,TECHNICAL PLAN
FichaTecnica.DescripPopUp,Complete los datos del cliente para poder generar el plano técnico.,Renseignez les informations client pour générer le dessin technique.,Complete the customer details to generate the technical drawing.
FichaTecnica.EscribirNombre,Nombre del cliente...,Nom du client...,Customer name...
FichaTecnica.EscribirCorreo,Correo del cliente...,Courriel du client...,Customer email...
,,,
,,,
Login.Input.Clave,*Contraseña...,*Mot de passe...,*Key...
Login.Button.Acceder,Acceder,Accéder,Enter
Login.Input.Mail,*Correo...,*Mail...,*Mail...
Login.Input.Nombre,*Nombre...,*Nom...,*Name...
Login.Input.Aceptar,Aceptar,Accepter,Accept
Login.Input.Volver,Volver,Retour,Return
Login.Button.ClaveOlvidada,¿Has olvidado tu contraseña?,Avez-vous oublié votre mot de passe ?,Have you forgotten your password?
Login.Button.NuevaClave,Cambiar contraseña,Changer le mot de passe,Change password
Login.Button.CrearCuenta,Crear cuenta,Créer un compte,Create account
Login.Panel.Settings.Menu.Idioma,Selecciona el idioma,Sélectionnez la langue,Select the language
Login.Panel.Settings.Menu.Title,Ajustes de cuenta,Paramètres du compte,Account settings
Login.Panel.Settings.CloseApp.Title,Salir de la aplicación,Quitter l'application,Exit the application
Login.Panel.Settings.CloseApp.Button,Cerrar aplicación,Fermer l'application,Close application
Login.HelperText.loginIncorrecto,El correo o la contraseña son incorrectos.,L'adresse e-mail ou le mot de passe est incorrect.,The email or password is incorrect.
Login.HelperText.Error,Error de conexión,Erreur de connexion,Connection error
Login.HelperText.NoConnection,No hay intertnet... Comprueba tu conexión.,Il n'y a pas d'internet... Vérifiez votre connexion.,There's no internet... Check your connection.
Login.Panel.CreacionUsuario.Titulo,Crear usuario,Créer un utilisateur,Create user
Login.Input.Apellidos,*Apellidos...,*Noms de famille...,*Last names...
Login.Input.Telefono,Teléfono...,Téléphone...,Phone...
Login.Input.Empresa,*Empresa...,*Entreprise...,*Company...
Login.Input.RepetirMail,*Repetir correo...,*Répétez l'email...,*Repeat email...
Login.Input.RepetirClave,*Repetir contraseña...,*Répéter le mot de passe...,*Repeat password...
Login.Panel.TerminosDeServicio,Términos de servicio,Conditions d'utilisation,Terms of service
Login.Input.Country,Selecciona el país:,Sélectionnez votre pays :,Select your country:
Login.ReSetPassword.Menu.Title,Recuperar contraseña,Récupérer le mot de passe,Recover password
Login.Input.ClaveDescrip,"La contraseña debe tener mínimo 8 digitos, una mayúscula, una minúscula y un número.","Le mot de passe doit comporter au minimum 8 caractères, une lettre majuscule, une lettre minuscule et un chiffre.","The password must have a minimum of 8 characters, one uppercase letter, one lowercase letter, and one number."
Login.Input.CreateUserDescrip,Solo los campos con * son obligatorios para crear un usuario.,Seuls les champs marqués d'un * sont obligatoires pour créer un utilisateur.,Only fields marked with * are required to create a user.
Login.HelperText.NotInLeads,Esta App está reservada a clientes de Fluidra Iberia. Para más información rogamos contacten con infomarketing@fluidra.com,"Cette application est réservée aux clients de Fluidra Iberia. Pour plus d'informations, veuillez contacter infomarketing@fluidra.com","This app is reserved for Fluidra Iberia customers. For more information, please contact infomarketing@fluidra.com"
Login.HelperText.EmailNoCoinciden,Los correos no coinciden.,Les adresses électroniques ne correspondent pas.,The emails do not match.
Login.HelperText.PasswordNoCoinciden,Las contraseñas no coinciden.,Les mots de passe ne correspondent pas.,The passwords do not match.
Login.HelperText.NoCumpleRequisitos,"Las contraseñas deben tener un mínimo de ocho caracteres, una mayúscula, una minúscula y un número.","Les mots de passe doivent comporter au minimum huit caractères, dont une lettre majuscule, une lettre minuscule et un chiffre.","Passwords must have a minimum of eight characters, one uppercase letter, one lowercase letter, and one number."
Login.HelperText.EmailAlreadyOnBBDD,El correo ya existe en la base de datos.,L'adresse e-mail existe déjà dans la base de données.,The email address already exists in the database.
Login.ReSetPassword.Menu.Descrip,Escribe el correo asociado a la cuenta y te enviaremos una nueva clave de acceso.,Saisissez l'adresse e-mail associée à votre compte et nous vous enverrons un nouveau code d'accès.,Enter the email address associated with the account and we will send you a new access code.
Login.ReSetPassword.Menu.Button,Enviar,Envoyer,Send
Login.Panel.ClaveOlvidada,Escribe tu correo,Saisissez votre adresse e-mail,Enter your email address
Login.SetPassword.Menu.Title,Cambiar contraseña,Changer le mot de passe,Change password
Login.SetPassword.Menu.ClaveActual,Contraseña actual...,Mot de passe actuel...,Current password...
Login.SetPassword.Menu.NuevaClave,Nueva contraseña...,Nouveau mot de passe...,New password...
Login.SetPassword.Menu.Boton,Actualizar,Mise à jour,Update
Login.ReSetPassword.Mail.Title,CovAR - Nueva contraseña,CovAR - Nouveau mot de passe,CovAR - New password
Login.ReSetPassword.Mail.Body,"Buenas, hemos generado esta nueva clave para tu cuenta:   ","Bonjour, nous avons généré cette nouvelle clé pour votre compte :","Hello, we have generated this new key for your account:"
Login.ReSetPassword.Mail.UserNotFound,Correo no encontrado en la base de datos,Adresse électronique introuvable dans la base de données,Email not found in the database
Login.ReSetPassword.Mail.MailSended,Se ha enviado un correo con la nueva clave de acceso,Un courriel contenant le nouveau code d'accès a été envoyé.,An email with the new access code has been sent.
Login.ReSetPassword.Mail.Error,Error al recuperar clave de acceso,Erreur lors de la récupération de la clé d'accès,Error retrieving access key
Login.HelperText.CorreoEnviado,Se ha mandado un correo con la nueva clave,Un courriel contenant le nouveau mot de passe a été envoyé.,An email with the new password has been sent.
Login.HelperText.PasswordChangedCorrectly,Contraseña correctamente actualizada,Mot de passe mis à jour avec succès,Password successfully updated
Login.HelperText.NewPasswordNotCorrect,"La nueva contraseña debe tener mínimo 8 digitos, una mayúscula, una minúscula y un número.","Le nouveau mot de passe doit comporter au minimum 8 caractères, une lettre majuscule, une lettre minuscule et un chiffre.","The new password must have a minimum of 8 characters, one uppercase letter, one lowercase letter, and one number."
Login.HelperText.SamePassword,La nueva contraseña no puede ser igual a la otra.,Le nouveau mot de passe ne peut pas être identique à l'ancien.,The new password cannot be the same as the old one.
Login.HelperText.UserNotFound,Correo o contraeña no encontrados en la base de datos,Adresse électronique ou mot de passe introuvable dans la base de données,Email or password not found in the database
Login.Panel.Settings.Menu.DeleteAcount,Eliminar cuenta,Supprimer le compte,Delete account
Login.Panel.Settings.Menu.DeleteAcountDescrip,Esta acción eliminará tu cuenta y borrará toda tu información. El acceso a la app quedará desactivado.,Cette action supprimera votre compte et effacera toutes vos informations. L'accès à l'application sera désactivé.,This action will delete your account and erase all your information. Access to the app will be disabled.
Login.Panel.Settings.Menu.DeleteAcountButton,Eliminar,Éliminer,Eliminate
Login.HelperText.UserDeletedCorrectly,El usuario se ha eliminado correctamente,L'utilisateur a été supprimé avec succès.,The user has been successfully deleted
Login.HelperText.LoginWait,Conectando con el servidor. Espere...,Connexion au serveur. Veuillez patienter...,Connecting to the server. Please wait...
